timestamp,event_type,x,y
1576962443908,!mousemove,403.0,424.0
1576962448995,!mousemove,393.0,1647.0
1576962449017,!mousemove,373.0,1656.0
1576962449034,!mousemove,339.0,1686.0
1576962449052,!mousemove,301.0,1718.0
1576962449074,!mousemove,265.0,1748.0
1576962449096,!mousemove,234.0,1776.0
1576962449113,!mousemove,210.0,1797.0
1576962449133,!mousemove,193.0,1808.0
1576962449153,!mousemove,182.0,1810.0
1576962449172,!mousemove,176.0,1811.0
1576962449532,!mousemove,174.0,1811.0
1576962449552,!mousemove,166.0,1811.0
1576962449573,!mousemove,157.0,1811.0
1576962449595,!mousemove,149.0,1809.0
1576962449614,!mousemove,145.0,1808.0
1576962449632,!mousemove,143.0,1808.0
1576962449652,!mousemove,141.0,1807.0
1576962449672,!mousemove,140.0,1807.0
1576962449693,!mousemove,139.0,1807.0
1576962449732,!mousemove,138.0,1807.0
1576962449772,!mousemove,137.0,1807.0
1576962449852,!mousemove,136.0,1807.0
1576962449894,!mousemove,135.0,1807.0
1576962450158,!mousedown,135.0,1807.0
1576962450290,!mouseup,135.0,1807.0
1576962456991,!mousemove,133.0,2142.0
1576962466208,!mousemove,127.0,2145.0
1576962466254,!mousemove,90.0,2176.0
1576962466272,!mousemove,61.0,2209.0
1576962466650,!mousemove,5.0,2199.0
1576962466669,!mousemove,12.0,2188.0
1576962466690,!mousemove,20.0,2180.0
1576962466712,!mousemove,26.0,2175.0
1576962466729,!mousemove,29.0,2172.0
1576962466751,!mousemove,32.0,2171.0
1576962466768,!mousemove,33.0,2170.0
1576962466789,!mousemove,36.0,2169.0
1576962466811,!mousemove,41.0,2165.0
1576962466829,!mousemove,46.0,2160.0
1576962466849,!mousemove,49.0,2156.0
1576962466870,!mousemove,53.0,2153.0
1576962466889,!mousemove,56.0,2150.0
1576962466911,!mousemove,57.0,2148.0
1576962466929,!mousemove,57.0,2147.0
1576962467009,!mousemove,58.0,2146.0
1576962467029,!mousemove,59.0,2145.0
1576962467050,!mousemove,60.0,2144.0
1576962467070,!mousemove,61.0,2142.0
1576962467089,!mousemove,62.0,2142.0
1576962467189,!mousemove,63.0,2141.0
1576962467209,!mousemove,64.0,2139.0
1576962467253,!mousemove,66.0,2138.0
1576962467543,!mousedown,66.0,2138.0
1576962467587,!mousemove,66.0,2138.0
1576962467683,!mouseup,66.0,2138.0
1576962480846,!mousemove,63.0,1884.0
1576962480871,!mousemove,59.0,1888.0
1576962480886,!mousemove,58.0,1890.0
1576962480910,!mousemove,50.0,1903.0
1576962480951,!mousemove,38.0,1952.0
1576962481186,!mousemove,85.0,1955.0
1576962481206,!mousemove,126.0,1943.0
1576962481226,!mousemove,154.0,1938.0
1576962481246,!mousemove,176.0,1936.0
1576962481265,!mousemove,187.0,1936.0
1576962481285,!mousemove,195.0,1940.0
1576962481306,!mousemove,206.0,1944.0
1576962481326,!mousemove,220.0,1948.0
1576962481346,!mousemove,235.0,1953.0
1576962481366,!mousemove,249.0,1955.0
1576962555065,!mousemove,339.0,1944.0
1576962555084,!mousemove,338.0,1913.0
1576962555104,!mousemove,338.0,1871.0
1576962555125,!mousemove,345.0,1813.0
1576962555147,!mousemove,363.0,1736.0
1576962555166,!mousemove,386.0,1647.0
1576962555187,!mousemove,407.0,1567.0
1576962555204,!mousemove,420.0,1507.0
1576962555230,!mousemove,423.0,1492.0
1576962555624,!mousemove,409.0,1480.0
1576962555645,!mousemove,380.0,1426.0
1576962555664,!mousemove,351.0,1337.0
1594157474323,!mousemove,586.0,275.0
1594157474344,!mousemove,617.0,197.0
1594157474363,!mousemove,612.0,197.0
1594157474444,!mousemove,609.0,196.0
1594157474464,!mousemove,594.0,192.0
1594157474484,!mousemove,556.0,181.0
1594157474505,!mousemove,430.0,165.0
1594157474524,!mousemove,320.0,149.0
1594157474545,!mousemove,250.0,138.0
1594157474564,!mousemove,209.0,135.0
1594157474584,!mousemove,187.0,135.0
1594157474604,!mousemove,186.0,135.0
1594157474644,!mousemove,188.0,139.0
1594157474664,!mousemove,190.0,148.0
1594157474685,!mousemove,195.0,157.0
1594157474704,!mousemove,214.0,187.0
1594157474725,!mousemove,234.0,231.0
1594157474778,!mousemove,247.0,242.0
1594157474949,!mousemove,263.0,231.0
1594157474968,!mousemove,266.0,227.0
1594157474993,!mousemove,271.0,221.0
1594157475015,!mousemove,273.0,219.0
1594157475181,!mousedown,273.0,219.0
1594157475199,!mousemove,273.0,219.0
1594157475234,!mousemove,273.0,219.0
1594157475267,!mouseup,273.0,219.0
1594157475554,!mousemove,271.0,225.0
1594157475574,!mousemove,269.0,231.0
1594157475985,!mouseup,0.0,0.0
1594157476038,!mousemove,258.0,263.0
1594157476155,!mousemove,257.0,266.0
1594157476175,!mousemove,256.0,268.0
1594157476195,!mousemove,255.0,269.0
1594157476214,!mousemove,254.0,271.0
1594157476234,!mousemove,254.0,273.0
1594157476255,!mousemove,251.0,278.0
1594157476274,!mousemove,249.0,280.0
1594157476435,!mousemove,248.0,281.0
1594157476549,!mousedown,248.0,281.0
1594157476626,!mousemove,248.0,281.0
1594157476627,!mouseup,248.0,281.0
1594157476854,!mousemove,248.0,283.0
1594157476874,!mousemove,248.0,285.0
1594157476894,!mousemove,248.0,288.0
1594157476914,!mousemove,248.0,291.0
1594157476934,!mousemove,246.0,295.0
1594157476953,!mousemove,246.0,297.0
1594157477494,!mouseup,0.0,0.0
1594157477526,!mousemove,240.0,327.0
1594157477593,!mousemove,239.0,327.0
1594157477614,!mousemove,238.0,327.0
1594157477635,!mousemove,236.0,328.0
1594157477654,!mousemove,236.0,330.0
1594157477674,!mousemove,235.0,331.0
1594157477695,!mousemove,235.0,353.0
1594157477717,!mousemove,235.0,363.0
1594157477754,!mousemove,235.0,374.0
1594157477774,!mousemove,235.0,385.0
1594157477799,!mousemove,235.0,388.0
1594157477815,!mousemove,236.0,393.0
1594157477834,!mousemove,236.0,396.0
1594157477854,!mousemove,236.0,397.0
1594157477894,!mousemove,237.0,399.0
1594157477914,!mousemove,237.0,400.0
1594157477974,!mousemove,238.0,401.0
1594157478033,!mousemove,238.0,403.0
1594157478054,!mousemove,238.0,404.0
1594157478074,!mousemove,240.0,405.0
1594157478094,!mousemove,251.0,415.0
1594157478114,!mousemove,254.0,418.0
1594157478134,!mousemove,259.0,420.0
1594157478154,!mousemove,264.0,422.0
1594157478174,!mousemove,270.0,423.0
1594157478193,!mousemove,271.0,423.0
1594157478214,!mousemove,275.0,423.0
1594157478234,!mousemove,280.0,421.0
1594157478254,!mousemove,290.0,417.0
1594157478274,!mousemove,295.0,416.0
1594157478294,!mousemove,301.0,414.0
1594157478314,!mousemove,304.0,413.0
1594157478334,!mousemove,305.0,413.0
1594157478395,!mousemove,306.0,433.0
1594157478415,!mousemove,306.0,443.0
1594157478713,!mousemove,306.0,473.0
1594157478734,!mousemove,303.0,472.0
1594157478754,!mousemove,298.0,470.0
1594157478774,!mousemove,296.0,470.0
1594157478814,!mousemove,296.0,469.0
1594157478853,!mousemove,294.0,466.0
1594157478874,!mousemove,294.0,464.0
1594157478894,!mousemove,294.0,461.0
1594157478914,!mousemove,294.0,460.0
1594157478926,!mousedown,294.0,460.0
1594157479031,!mouseup,294.0,460.0
1594157479173,!mousemove,294.0,459.0
1594157483893,!mousemove,226.0,353.0
1594157483913,!mousemove,140.0,236.0
1594157483933,!mousemove,8.0,98.0
1594157483953,!mousemove,0.0,63.0
1594157483973,!mousemove,0.0,54.0
1594157484073,!mousemove,1.0,54.0
1594157484093,!mousemove,11.0,55.0
1594157484119,!mousemove,20.0,58.0
1594157484173,!mousemove,15.0,90.0
1594157484193,!mousemove,16.0,152.0
1594157484213,!mousemove,61.0,220.0
1594157484233,!mousemove,110.0,287.0
1594157484254,!mousemove,151.0,353.0
1594157484273,!mousemove,169.0,390.0
1594157484294,!mousemove,202.0,466.0
1594157484313,!mousemove,215.0,497.0
1594157484333,!mousemove,220.0,506.0
1594157484393,!mousemove,220.0,507.0
1594157484413,!mousemove,220.0,515.0
1594157484433,!mousemove,220.0,517.0
1594157484493,!mousemove,220.0,528.0
1594157484513,!mousemove,216.0,547.0
1594157484533,!mousemove,207.0,586.0
1594157484553,!mousemove,205.0,604.0
1594157484573,!mousemove,200.0,617.0
1594157484593,!mousemove,197.0,623.0
1594157484613,!mousemove,195.0,640.0
1594157484633,!mousemove,195.0,653.0
1594157484654,!mousemove,195.0,660.0
1594157484673,!mousemove,195.0,661.0
1594157484693,!mousemove,195.0,662.0
1594157484933,!mousemove,194.0,662.0
1594157484973,!mousemove,192.0,664.0
1594157485013,!mousemove,192.0,666.0
1594157485107,!mousedown,192.0,666.0
1594157485173,!mousemove,192.0,666.0
1594157485211,!mouseup,192.0,666.0
1594157493820,!mousemove,191.0,613.0
1594157918683,!mousemove,384.0,368.0
1594157918717,!mousemove,342.0,364.0
1594157918746,!mousemove,339.0,364.0
1594157919193,!mousemove,338.0,364.0
1594157919272,!mousemove,334.0,364.0
1594157919294,!mousemove,321.0,360.0
1594157919312,!mousemove,319.0,359.0
1594157919333,!mousemove,317.0,359.0
1594157919353,!mousemove,311.0,361.0
1594157919373,!mousemove,298.0,370.0
1594157919395,!mousemove,253.0,411.0
1594157919464,!mousemove,148.0,615.0
1594157921346,!mousemove,246.0,611.0
1594157924981,!mousemove,1036.0,84.0
1594157925004,!mousemove,888.0,167.0
1594157925045,!mousemove,709.0,283.0
1594157925080,!mousemove,222.0,620.0
1594157925454,!mousemove,255.0,614.0
1594157925480,!mousemove,387.0,474.0
1594157925513,!mousemove,619.0,229.0
1594157925534,!mousemove,759.0,119.0
1594157925555,!mousemove,905.0,27.0
1602803834431,!mousemove,472.0,536.0
1602803834527,!mousemove,417.0,651.0
1602803834712,!mousemove,353.0,655.0
1602803834739,!mousemove,351.0,655.0
1602803834783,!mousemove,349.0,655.0
